pid,name,link
TEAFTZ3DYRDGSSFH,Dabur Vedic Suraksha Green Tea Bags Box,/dabur-vedic-suraksha-green-tea-bags-box/p/itm7ab46030adc66?pid=TEAFTZ3DYRDGSSFH&lid=LSTTEAFTZ3DYRDGSSFHCOIVCF&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_1&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=en_36oRM%2BE7s4OodpjGXpnVjdh2a%2FBoi0B1w2t%2BlEN0mSQ1Bo0JbAT1DoGL2bqGezA%2BXVFxC4U%2FQ6Um5IeltNou0w%3D%3D&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAFPXCMYZ2AMHPC,Octavius Kadak Assam CTC Tea Pouch,/octavius-kadak-assam-ctc-tea-pouch/p/itm479baa3d178f3?pid=TEAFPXCMYZ2AMHPC&lid=LSTTEAFPXCMYZ2AMHPCCBPY3C&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_2&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=en_36oRM%2BE7s4OodpjGXpnVjdh2a%2FBoi0B1w2t%2BlEN0mSRgNhjZgqVlQBfyLdqkZD7%2F9CNXtOSIAJZZ57p1Hxk%2BZw%3D%3D&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETC8RDJEXAGP4,"Lipton Honey, Lemon Green Tea Bags Box",/lipton-honey-lemon-green-tea-bags-box/p/itmewjx9atpdgjm4?pid=TEAETC8RDJEXAGP4&lid=LSTTEAETC8RDJEXAGP4W90TQX&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_3&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETC8RDJEXAGP4.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETM5TBNGJXNMG,Tata Gold Tea Pouch,/tata-gold-tea-pouch/p/itmff7nez84gfjac?pid=TEAETM5TBNGJXNMG&lid=LSTTEAETM5TBNGJXNMGZ3KEN3&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_4&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETM5TBNGJXNMG.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETM5TKFQ4EMGY,Tata Agni Tea Pouch,/tata-agni-tea-pouch/p/itmfykkyyvkvrmdw?pid=TEAETM5TKFQ4EMGY&lid=LSTTEAETM5TKFQ4EMGYM9JN6O&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_5&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETM5TKFQ4EMGY.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETC92PCQM7RKM,Taj Mahal Tea Box,/taj-mahal-tea-box/p/itmewhuctjhugcnm?pid=TEAETC92PCQM7RKM&lid=LSTTEAETC92PCQM7RKMT2BGLB&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_6&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETC92PCQM7RKM.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETY5NKPGFGFZK,"Red Label Natural Care Cardamom, Ginger, Liquorice, Tul...",/red-label-natural-care-cardamom-ginger-liquorice-tulsi-tea-box/p/itmf9rgsp9bcdugr?pid=TEAETY5NKPGFGFZK&lid=LSTTEAETY5NKPGFGFZKSVL5NH&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_7&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETY5NKPGFGFZK.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAFSFAFVYHFH7W6,"TGL Co. Little Buddha Green Tea with Sandalwood, Red Pe...",/tgl-co-little-buddha-green-tea-sandalwood-red-peppercorns-sencha-pineapple-papaya-liquorice-chamomile-pouch/p/itmdf59f1af9530e?pid=TEAFSFAFVYHFH7W6&lid=LSTTEAFSFAFVYHFH7W6UY2BIH&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_8&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=en_36oRM%2BE7s4OodpjGXpnVjdh2a%2FBoi0B1w2t%2BlEN0mSS4NlaE2F3EVzAnGrkIPXbTS0d3E%2FpIr%2FTXuCLgRIytKg%3D%3D&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAEVHM97Z2XGQEM,Lipton Zest Lemon Green Tea Bags Box,/lipton-zest-lemon-green-tea-bags-box/p/itmevhm9uczfbnnh?pid=TEAEVHM97Z2XGQEM&lid=LSTTEAEVHM97Z2XGQEMP1XM5G&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_9&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAEVHM97Z2XGQEM.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETY5NR2ZRGJRK,3 Roses Tea Box,/3-roses-tea-box/p/itmewyzffzwazgwg?pid=TEAETY5NR2ZRGJRK&lid=LSTTEAETY5NR2ZRGJRKCCCBHH&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_10&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETY5NR2ZRGJRK.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETC9264EX7KNH,Lipton Tulsi Natura Tulsi Green Tea Bags Box,/lipton-tulsi-natura-green-tea-bags-box/p/itmetc92m9tzpkup?pid=TEAETC9264EX7KNH&lid=LSTTEAETC9264EX7KNHFLXMFG&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_11&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETC9264EX7KNH.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAFYTQTH53K4CWD,NutroVally green tea for weight loss & Build Immunity |...,/nutrovally-green-tea-weight-loss-build-immunity-premium-leaves-active-ingredients-lemon-bags-box/p/itmb5f2247b3c083?pid=TEAFYTQTH53K4CWD&lid=LSTTEAFYTQTH53K4CWDGIG2OM&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_12&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=en_36oRM%2BE7s4OodpjGXpnVjdh2a%2FBoi0B1w2t%2BlEN0mSTxhvDBno9Vnh0LUJ7R9fnF9la9cHnqKaH2FfXb9c%2Fcgg%3D%3D&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAFGHYM8QXHHK4P,Tata Premium Anokha Swad Tea Pouch,/tata-premium-anokha-swad-tea-pouch/p/itm7ee8443922c24?pid=TEAFGHYM8QXHHK4P&lid=LSTTEAFGHYM8QXHHK4PN1ZMTX&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_13&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAFGHYM8QXHHK4P.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAEUHAMYEGJ5PW4,"tetley Immune with Added Vitamin C Ginger, Mint, Lemon ...",/tetley-immune-added-vitamin-c-ginger-mint-lemon-green-tea-bags-box/p/itm8b23c9af7acda?pid=TEAEUHAMYEGJ5PW4&lid=LSTTEAEUHAMYEGJ5PW4TS0BMR&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_14&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAEUHAMYEGJ5PW4.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETM5TCX2WXST8,"Tata Teaveda Ayurvedic Goodness Brahmi, Tulsi Tea Box",/tata-teaveda-ayurvedic-goodness-brahmi-tulsi-tea-box/p/itmewvduz93fbn8q?pid=TEAETM5TCX2WXST8&lid=LSTTEAETM5TCX2WXST8OIAM7T&marketplace=GROCERY&q=tea&store=eat%2Ffpm&spotlightTagId=BestsellerId_eat%2Ffpm&srno=s_1_15&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETM5TCX2WXST8.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAFYTWPVUEZ6W89,NutroVally herbal green tea for weight loss & Build Imm...,/nutrovally-herbal-green-tea-weight-loss-build-immunity-premium-leaves-active-ingredients-lemon-infusion-bags-box/p/itm0ff8052d8f1f5?pid=TEAFYTWPVUEZ6W89&lid=LSTTEAFYTWPVUEZ6W89N9OK35&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_16&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=en_36oRM%2BE7s4OodpjGXpnVjdh2a%2FBoi0B1w2t%2BlEN0mSQeYr5uMopS167L%2BKEDQcNksMbrE8U6%2BIihBHWcoV64eQ%3D%3D&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETC92QASWGFTV,Red Label Tea Box,/red-label-tea-box/p/itmewyzfkfza9fyx?pid=TEAETC92QASWGFTV&lid=LSTTEAETC92QASWGFTVYO5P9J&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_17&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETC92QASWGFTV.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAETM5TRPUACCDZ,Tata Kanan Devan Classic Tea Pouch,/tata-kanan-devan-classic-tea-pouch/p/itmex8eryegrfhta?pid=TEAETM5TRPUACCDZ&lid=LSTTEAETM5TRPUACCDZWA9G9J&marketplace=GROCERY&q=tea&store=eat%2Ffpm&srno=s_1_18&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAETM5TRPUACCDZ.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
TEAFU5YAGU5J7HX9,Taj Mahal Tea Non South Black Tea Box,/taj-mahal-tea-non-south-black-box/p/itmfab88854e192b?pid=TEAFU5YAGU5J7HX9&lid=LSTTEAFU5YAGU5J7HX9OONL0C&marketplace=FLIPKART&q=tea&store=eat%2Ffpm&srno=s_1_19&otracker=AS_Query_OrganicAutoSuggest_6_3_na_na_na&otracker1=AS_Query_OrganicAutoSuggest_6_3_na_na_na&fm=organic&iid=1dc1f097-fe63-4e35-a0c5-d441e28a7222.TEAFU5YAGU5J7HX9.SEARCH&ppt=None&ppn=None&ssid=iz4g83xcnk0000001625915927269&qH=7239ea2b5dc943f6
